Date,PROPHET Model,ETS Model,ARIMA Model
2021-12-05 20:00,30313.530095642505,33017.38380266562,30802.15088231033
2021-12-05 21:00,28848.81566490831,31816.97822949231,29675.226803052436
2021-12-05 22:00,27171.62332663254,30067.488104704196,28033.287362299627
2021-12-05 23:00,25686.58390776389,28205.398309921897,26403.82337440124
2021-12-06 00:00,24517.515628142013,26839.425125617396,25240.122692078294
2021-12-06 01:00,23593.305223293988,25838.479570701842,24409.10959296611
2021-12-06 02:00,22897.825304517097,25143.77981790522,23904.570566116447
2021-12-06 03:00,22612.54707412006,24812.49404586772,23817.130896044873
2021-12-06 04:00,22993.26419344024,24925.966691715526,24154.47340243186
2021-12-06 05:00,24092.391146207272,25698.525966346067,25366.842839377223
2021-12-06 06:00,25601.877890035797,27381.201241988027,27178.626158520405
2021-12-06 07:00,26988.909068734163,28808.518851189387,28145.41039015595
2021-12-06 08:00,27826.580895745694,29339.470241586558,28563.822376585824
2021-12-06 09:00,28044.321623389475,29513.003177955565,28419.905288423135
2021-12-06 10:00,27903.577599756416,29381.87737949079,28003.92883033337
2021-12-06 11:00,27756.62597929026,29183.82920320056,27765.360517743873
2021-12-06 12:00,27823.067815011305,29115.621601455314,27823.809172129895
2021-12-06 13:00,28158.207773025842,29429.533420795182,28326.78355610436
2021-12-06 14:00,28769.284315041343,29992.998740818995,28997.42614256987
2021-12-06 15:00,29690.605857732367,30793.190161749928,29762.09962288544
2021-12-06 16:00,30902.223216874292,31803.04250417951,31213.0642811585
2021-12-06 17:00,32182.068289827308,33172.60510803344,32879.403226252405
2021-12-06 18:00,33092.7260534918,34373.66979019596,32458.6945368694
2021-12-06 19:00,33191.91781289595,34087.937113820815,31649.15939546569
2021-12-06 20:00,32325.17540429548,33017.38380266562,30765.90006538191
2021-12-06 21:00,30746.73582829442,31816.97822949231,29640.30225449546
2021-12-06 22:00,28948.030660676246,30067.488104704196,28000.295199773114
2021-12-06 23:00,27334.948278102802,28205.398309921897,26372.748915639684
2021-12-07 00:00,26032.596222108834,26839.425125617396,25210.417783792436
2021-12-07 01:00,24971.16879184897,25838.479570701842,24380.38269767145
2021-12-07 02:00,24135.85085033166,25143.77981790522,23876.437458962235
2021-12-07 03:00,23709.417115204487,24812.49404586772,23789.100695972782
2021-12-07 04:00,23948.942882171195,24925.966691715526,24126.046186531563
2021-12-07 05:00,24908.08966987101,25698.525966346067,25336.98879511422
2021-12-07 06:00,26280.007718828765,27381.201241988027,27146.63984025905
2021-12-07 07:00,27533.023750101293,28808.518851189387,28112.286270890807
2021-12-07 08:00,28241.307215260385,29339.470241586558,28530.205831438463
2021-12-07 09:00,28335.281067267075,29513.003177955565,28386.458118201408
2021-12-07 10:00,28077.299151579875,29381.87737949079,27970.971219639032
2021-12-07 11:00,27820.451372450567,29183.82920320056,27732.683676280787
2021-12-07 12:00,27785.05043431344,29115.621601455314,27791.063542890308
2021-12-07 13:00,28027.00645737484,29429.533420795182,28293.445980140532
2021-12-07 14:00,28554.05335528141,29992.998740818995,28963.299292450465
2021-12-07 15:00,29400.88251026514,30793.190161749928,29727.07283436718
2021-12-07 16:00,30547.814064482114,31803.04250417951,31176.329863377607
2021-12-07 17:00,31772.935774232916,33172.60510803344,32840.70770684999
2021-12-07 18:00,32638.876483641274,34373.66979019596,32420.494146321376
2021-12-07 19:00,32703.29211433218,34087.937113820815,31611.91174066397
2021-12-07 20:00,31811.543823785625,33017.38380266562,30729.691911763024
2021-12-07 21:00,30217.597739614837,31816.97822949231,29605.418808372953
2021-12-07 22:00,28412.520539265188,30067.488104704196,27967.34186547075
2021-12-07 23:00,26801.748817975127,28205.398309921897,26341.711028171387
